Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Land area where elevation is below 5 meters (% of total land area),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,
Forest area (sq. km),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48170,47253,46336,45419,44502,43585,42668,41751,40834,39917,39000,38472,37944,37416,36888,36360,36360,36360,36360,36360,36360,36360,36360,,,
Forest area (% of land area),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.68531469,33.04405594,32.4027972,31.76153846,31.12027972,30.47902098,29.83776224,29.1965035,28.55524476,27.91398601,27.20613882,26.83780956,26.46948029,26.10115103,25.73282176,25.3644925,25.3644925,25.3644925,25.3644925,25.3644925,25.3644925,25.3644925,25.3644925,25.3644925,,
Agricultural irrigated land (% of total agricultural land),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.41140577,27.54067437,27.63189023,27.69084874,27.79628748,24.63560335,25.42006721,25.86705202,26.40096618,29.73824527,,,,,
Average precipitation in depth (mm per year),,,1500,,,,,1500,,,,,1500,,,,,1500,,,,,1500,,,,,1500,,,,,1500,,,,,1500,,,,,1500,,,,,1500,,,,,1500,,1500,
Land area (sq. km),,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143350,143350,143350,143350,143350,143350,143350,143350,143350,143350,143350,143350,143350,143350,143350,
"Agricultural machinery, tractors per 100 sq. km of arable land",,0.996677741,1.052048726,1.101321586,1.19047619,1.245847176,1.771871539,2.308960968,2.803738318,3.353490929,4.065540195,4.096262161,4.379562044,4.942263279,5.688073394,8.769931663,7.149321267,7.820224719,8.526785714,9.223946785,11.07488987,10.58154788,11.3292523,11.7621338,12.11193704,12.16878006,13.99212943,15.74114561,17.56886751,19.67643201,21.86270223,23.84681583,33.56282272,43.4595525,53.35628227,63.25301205,73.14974182,83.2616179,93.37349398,103.2702238,111.7247239,,,,,,,,,,,,,,,
Cereal production (metric tons),,3167000,3177026,3181578,3280500,3335000,3126325,3165429,3291912,3416913,3555902,3450714,3216502,3708825,3755148,3851585,3733322,3534858,3648730,3193100,3792060,3933530,3221180,4310790,4309680,4373360,3999390,4759120,5306800,5672510,5847090,5519720,4901750,5772620,5374592,6077793,6378420,6350360,6389950,6589948,7115587,7120004,7220775,7366903,7754058,7774590,7663744,7336809,8077057,8122431,7770976,8615383,9457722,8580285,,
Crop production index (2004-2006 = 100),,28.21,28.34,28.78,29.28,30.42,28.57,29.31,30.17,31.25,32.49,32.44,30.26,34.24,34.85,36.38,35.07,34.09,35.32,33.02,37.09,38.78,32.88,44.48,44.94,46.7,43.92,51.06,56.24,59.67,62.82,66.37,62.01,71.18,68.01,74.89,73.92,75.69,76.14,79.65,85.01,88.22,90.25,93.94,98.42,100.25,101.33,99.11,107.52,113.01,113.56,123.97,138.07,130.09,,
Food production index (2004-2006 = 100),,28.4,28.66,29.21,29.7,30.56,29.29,30.31,31.1,32.17,33.19,33.53,32.2,35.52,36.59,38.29,37.63,37.32,38.46,37.15,40.7,42.83,39.8,49.1,49.41,50.81,48.99,54.78,59.31,62.18,65.34,68.47,65.29,72.4,70.91,76.57,76.11,78.69,79.68,82.92,87.2,89.29,91.36,94.75,98.48,100.49,101.03,100.39,107.15,112.21,113.37,121.61,140.29,130.36,,
Livestock production index (2004-2006 = 100),,30.01,30.68,31.59,32.03,32.64,32.92,33.93,34.86,35.84,36.44,37.77,39.07,40.3,41.78,43.79,45.04,46.58,47.85,48.94,51.24,54.08,58.45,61.04,60.9,61.32,62.77,63.64,66.16,67.64,70.67,71.97,72.24,72.8,76.29,78.05,79.25,83.47,85.97,88.13,89.22,91.28,93.3,95.68,97.54,100.36,102.1,105.4,107.83,112.31,114.93,120.01,150.86,135.54,,
Surface area (sq. km),,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,
Cereal yield (kg per hectare),,1846.647,1842.288,1843.859,1883.18,1867.301,1741.976,1738.206,1723.993,1750.93,1782.505,1716.924,1630.104,1772.791,1767.583,1789.614,1709.541,1604.333,1634.047,1456.886,1687.137,1700.92,1381.514,1745.259,1666.201,1659.058,1524.745,1684.072,1780.351,1886.906,1920.082,1848.23,1725.956,1858.832,1773.068,1891.284,1957.898,1946.566,1960.246,2003.1,2136.338,2176.96,2165.631,2200.916,2311.178,2311.599,2273.478,2213.329,2356.193,2369.144,2289.923,2476.529,2714.202,2569.658,,
Trade in services (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.02524129,9.71435029,11.95010456,12.55762563,12.03019197,9.627177654,8.700760169,9.66069428,11.29786498,,
"Communications, computer, etc. (% of service imports, BoP)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.40759519,18.77347177,18.11716774,12.748773,13.06221486,18.06659776,19.07420695,12.453722,15.28424514,,
"Primary income payments (BoP, current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91557152.23,96055936.85,87608819.96,84624793.02,52293548.91,116087074.1,140320800.2,121934818.1,90587988.27,,
"Imports of goods and services (BoP, current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2711192466,2933864708,3655163051,4371089323,5101053816,5878849339,6447235614,6847432219,7527572474,,
"Insurance and financial services (% of service imports, BoP)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.053140921,5.823192206,4.24786323,3.58189482,3.197039451,3.442969972,4.340687339,3.452728173,2.996953882,,
"Goods imports (BoP, current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2276461353,2441024153,2932574156,3519343419,4259355806,5009190071,5665081713,5951159563,6542960741,,
"Service imports (BoP, current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434731112.9,492840555.2,722588894.6,851745903.2,841698010,869659268.5,782153901.1,896272656.2,984611732.6,,
"Charges for the use of intellectual property, payments (BoP, current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Imports of goods, services and primary income (BoP, current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2802749618,3029920645,3742771871,4455714116,5153347365,5994936413,6587556414,6969367037,7618160462,,
"Transport services (% of service imports, BoP)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.99908829,37.81129654,39.7664814,38.96976809,32.22846023,32.29673486,35.65968185,37.99307923,38.85761838,,
"Travel services (% of service imports, BoP)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.54017558,37.59203948,37.86848763,44.69956408,51.51228546,46.1936974,40.92542386,46.1004706,42.86118259,,
"Foreign direct investment, net outflows (% of GDP)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Secondary income, other sectors, payments (BoP, current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60495691.69,68886315.13,41415751.78,51051662.11,108983491.9,53272708.44,52063277.83,78039307.89,54496869.38,,
"Personal remittances, paid (current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3005676.27,8713303.566,9062519.073,17992223.74,21802417.76,24058675.77,26947868.35,16732551.57,24304800.03,34089614.87,26189754.49,63611103.06,65787634.35,79166536.17,3953399.498,5286468.443,12297855.77,32360885.52,39162790.86,50328231.56,27808680.5,,
"Current account balance (BoP, current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153094707.2,150080619.4,5659482.662,733341812.3,21414155.63,-127615743,288604650.2,576932972.9,1160160087,,
Current account balance (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.883023747,1.659501803,0.054810111,5.845485641,0.166582496,-0.797465993,1.525912789,3.060406587,6.028607839,,
"Net financial account (BoP, current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332462418.9,304749253.6,98772204.54,739685089.8,160447743.7,-117630255,756802306,834958520.4,1390192244,,
"Net primary income (BoP, current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48303307.75,62118346.83,136661712.7,151009352.4,157894962.8,93466889.05,147390686.3,125532200.4,237586228,,
"Net trade in goods and services (BoP, current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1427964920,-1699390032,-2218897887,-2660852936,-3559207098,-4307317702,-4584800479,-4918227656,-5339974549,,
"Net trade in goods (BoP, current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1373580774,-1592247110,-2007642247,-2532770344,-3422290507,-4108603329,-4666117423,-4946869468,-5544939947,,
"Net errors and omissions (BoP, current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139085624.2,108357461.4,17724581.87,-107245490.3,7031526.953,-175131659.7,278652109.9,56460630.22,63097623.82,,
"Foreign direct investment, net (BoP, current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2451784.707,6647983.904,-5741706.053,-995123.9307,-38271269.97,-87741711.63,-94022157.12,-91996607.25,-74244986.77,,
"Portfolio Investment, net (BoP, current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Reserves and related items (BoP, current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170889380.1,307726446.4,-31991335.1,831153764,393923.4997,162016328.6,999661654.4,717182855.9,1444539886,,
"Net secondary income (BoP, current US$)",,,,,,,,,,,,,,,,,46888000,48680000,57820799.17,81191666.67,108141666.7,126544754,142576435,132516967.4,117720854.3,118714338.2,111070772.1,140279228.2,124856671,97567430.47,108576171.6,111201089.7,128969003.1,152484008.4,151980108.7,230105091,263612990.2,245597566.5,301963548.6,333194903.1,340325616.9,390472515.6,954434808.4,1057373869,1174037798,1532756320,1787352305,2087895657,3243185396,3422726291,4086235070,4726014443,5369628428,6262548409,,
"Net capital account (BoP, current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40282087.46,46311172.74,75388140,113588767.7,132002061.1,185117147.7,189545545.8,201564917.3,166934533.1,,
"Grants, excluding technical cooperation (BoP, current US$)",,,,,,,,,,,8960000,7800000,15420000,16120000,12610000,8020000,5910000,20470000,24460000,51820000,78810000,63720000,74750000,72200000,53970000,77630000,108130000,130760000,157160000,170140000,142940000,141920000,157650000,146530000,170020000,171140000,141610000,139670000,116730000,146480000,143280000,184330000,204860000,221560000,266500000,321620000,314940000,442160000,709950000,764050000,684530000,744300000,651840000,688390000,,
"Technical cooperation grants (BoP, current US$)",,,,,,,,,,,7830000,10830000,10050000,12490000,13780000,22960000,19850000,23430000,29620000,35020000,47360000,50320000,60140000,65520000,65390000,66980000,72020000,82010000,97590000,98490000,102400000,112020000,122350000,142040000,138340000,138070000,138910000,132530000,137450000,105800000,105950000,119170000,127790000,146960000,113680000,118570000,123160000,96870000,101970000,116700000,122480000,142250000,141580000,132990000,,
"ICT service exports (BoP, current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103608383.7,87109837.82,99435943.45,131513400.7,147701057.2,198948383.3,350014551.3,383572653.7,500333808.9,,
"ICT service exports (% of service exports, BoP)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.24049163,22.58500706,19.44640652,18.17328565,20.95700214,29.6519706,40.53576953,41.47114863,42.05980397,,
"Communications, computer, etc. (% of service exports, BoP)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.88574546,57.33375917,53.05106908,49.86372809,35.78937998,42.77801235,50.77656414,58.33449451,60.69904179,,
"Primary income receipts (BoP, current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139860460,158174283.7,224270532.7,235634145.4,210188511.8,209553963.2,287711486.5,247467018.5,328174216.2,,
"Exports of goods and services (BoP, current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1283227546,1234474676,1436265164,1710236387,1541846718,1571531637,1862435135,1929204564,2187597925,,
"Insurance and financial services (% of service exports, BoP)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.015508645,0.416100876,0.611946168,0.100168419,0.212644024,0.058559427,0.191064722,0.133549028,0.195015654,,
"Goods exports (BoP, current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,902880578.6,848777042.7,924931909,986573075.6,837065298.5,900586741.3,998964290.6,1004290096,998020794.2,,
"Service exports (BoP, current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380346966.9,385697633.7,511333255,723663310.9,704781419.5,670944895.8,863470844.2,924914468,1189577130,,
"Charges for the use of intellectual property, receipts (BoP, current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Exports of goods, services and primary income (BoP, current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1423088006,1392648960,1660535697,1945870532,1752035230,1781085600,2150146622,2176671583,2515772141,,
"Transport services (% of service exports, BoP)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.575637533,9.10788055,7.244550662,3.772152878,5.428638506,5.936927415,4.707137938,3.598003725,2.452347372,,
"Travel services (% of service exports, BoP)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.52310835,33.14225941,39.09243409,46.2639506,58.56933748,51.22650081,44.3252332,37.93395272,36.65359521,,
"Foreign direct investment, net inflows (BoP, current US$)",,,,,,,,,,,,,30000,-10000,250000,,-40000,,410000,300000,300000,-230000,-30000,-600000,950000,650000,1170000,1390000,680000,420000,5940000,2220000,,,,,19160171.09,23056467.77,12024659.9,4350000,-484827,20850000,-5952541.127,14778085.61,-417346.3839,2451784.707,-6647983.904,5741706.053,995123.9307,38271269.97,87741711.63,94022157.12,91996607.25,74244986.77,,
"Foreign direct investment, net inflows (% of GDP)",,,,,,,,,,,,,0.002929405,-0.001028697,0.020526234,,-0.002753324,,0.025558508,0.016205267,0.015416899,-0.010107299,-0.001252387,-0.024518068,0.036804361,0.024809975,0.041041386,0.047003095,0.019500949,0.011914123,0.163746464,0.056611336,,,,,0.42374943,0.468752021,0.247611787,0.086418535,-0.008824258,0.347091518,-0.098374869,0.233443498,-0.005737561,0.030156293,-0.073509433,0.055606415,0.007932157,0.297715389,0.548294666,0.497114693,0.488006469,0.385803575,,
"Primary income on FDI, payments (current US$)",,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44808643.49,42057608.75,44895820.25,56596871.12,55749859.83,53966789.18,44091958.65,8775468.053,49789051.03,58969026.82,33892423.07,24656975.85,,
"Portfolio equity, net inflows (BoP, current US$)",,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
"Secondary income receipts (BoP, current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1593277459,1856238620,2129414168,3294358980,3532110976,4139507778,4778077721,5447667736,6317045278,,
"Personal transfers, receipts (BoP, current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1126343962,1373289505,1647145905,2581293774,2856158161,3331808782,4010460830,4633487631,5403495503,,
"Personal remittances, received (current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54825103.76,50118518.83,56822666.17,44160125.73,49458057.4,67504905.7,83462783.81,111498191.8,146985153.2,678485900.9,771072143.6,822608947.8,1211823253,1453231426,1733858518,2727140487,2983336877,3464092682,4216894010,4793440977,5588903439,,
"Personal remittances, received (% of GDP)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.497936602,1.23238961,1.29110016,0.976652453,1.005512405,1.390060964,1.658099194,2.029360641,2.4468729,11.21301978,12.18031773,11.3089966,14.90510027,16.06896468,16.79181348,21.73810397,23.20762544,21.64698527,22.29559536,25.42735297,29.04194642,,
S&P Global Equity Indices (annual % change),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market capitalization of listed companies (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264000000,244000000,207000000,200000000,267000000,385559000,789748000,494000000,417288000,482745205.5,852896316.9,1343940833,1805286236,4909432000,4894113406,5484650168,5235076398,3848713147,4160213850,,,
Market capitalization of listed companies (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.491629531,5.544062963,4.578045341,4.066121713,5.498063787,7.659642274,14.37407622,8.223655154,6.896323992,7.625732604,11.72537884,16.530111,19.96177638,47.54613227,39.01109846,42.66554936,32.71379611,20.34894659,22.06832764,,,
"Listed domestic companies, total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,83,90,98,104,108,110,118,98,73,115,125,135,144,149,165,190,181,216,,,
"Stocks traded, total value (current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000000,18000000,5000000,5000000,4000000,23760000,31690000,19000000,19740000,28733455.05,62196343.57,47953178.19,69322325.57,231133634.4,366119662.7,229811036.5,99000000,80244205.16,49410766.4,,,
"Stocks traded, total value (% of GDP)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.344253081,0.408988251,0.110580805,0.101653043,0.082367997,0.472023997,0.576784589,0.316294429,0.326233766,0.453890878,0.855057849,0.589811202,0.76652485,2.23844843,2.918348845,1.787719147,0.618647288,0.424267796,0.262105031,,,
"Stocks traded, turnover ratio (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.086614173,2.2172949,2.457002457,1.713062099,7.282100163,5.392633584,2.960082508,4.332329626,6.38497666,9.313328842,4.36565616,4.402497759,6.884388183,7.469127699,4.428485818,1.847062038,1.766756149,1.233892291,,,
"Net bilateral aid flows from DAC donors, Australia (current US$)",,,,,,50000,60000,80000,180000,200000,710000,940000,760000,460000,340000,510000,470000,830000,840000,900000,1400000,1740000,2010000,1550000,1930000,1460000,1380000,2800000,3400000,3600000,1230000,2490000,2870000,6510000,4320000,5420000,4970000,6260000,4270000,4410000,4060000,4530000,3480000,3240000,3760000,3120000,2390000,4900000,5390000,8070000,23560000,28450000,45080000,33250000,,
"Net bilateral aid flows from DAC donors, Austria (current US$)",,,,,,,,,,,,,,,,10000,180000,90000,50000,110000,80000,160000,50000,890000,40000,80000,280000,610000,250000,1460000,6420000,1360000,1830000,3240000,1670000,1830000,2230000,1090000,1610000,1710000,1320000,1270000,1840000,2330000,1750000,1080000,2070000,3290000,2540000,2780000,1510000,2440000,960000,2280000,,
"Net bilateral aid flows from DAC donors, Belgium (current US$)",,,,,,,,,,,,,,,,10000,10000,70000,10000,50000,70000,30000,70000,10000,10000,70000,5700000,350000,100000,540000,110000,70000,60000,150000,3120000,190000,70000,-420000,-220000,2030000,-190000,2310000,-90000,1870000,-550000,-330000,610000,800000,2150000,740000,1130000,430000,490000,-310000,,
"Net bilateral aid flows from DAC donors, Canada (current US$)",,,,,10000,10000,10000,10000,10000,,,1190000,370000,1460000,90000,130000,340000,1950000,2420000,5170000,4260000,6230000,6780000,6760000,7310000,7740000,6330000,7830000,12540000,10610000,8360000,8350000,9910000,7500000,4090000,3820000,5380000,4710000,5840000,4660000,4150000,4340000,4150000,6080000,7730000,10180000,11070000,14750000,9420000,5460000,11840000,11850000,15390000,6350000,,
"Net bilateral aid flows from DAC donors, European Union institutions (current US$)",,,,,,,,,,,,,,350000,,380000,10000,80000,420000,20000,,2080000,1330000,2030000,6150000,2220000,1740000,4650000,3520000,2020000,3900000,3150000,1650000,6000000,4090000,4220000,6070000,8200000,4370000,10000000,14760000,11100000,13410000,16210000,22140000,9790000,24370000,24700000,46160000,43980000,46160000,33110000,27480000,40080000,,
"Net bilateral aid flows from DAC donors, Switzerland (current US$)",,50000,,260000,210000,400000,430000,310000,430000,250000,230000,490000,440000,830000,1180000,2060000,2000000,3660000,4260000,5540000,8060000,9700000,11810000,10700000,8020000,7550000,9100000,9720000,12780000,19480000,16040000,11360000,12980000,13180000,17130000,15550000,14820000,11270000,13400000,13460000,11630000,12400000,14400000,14440000,15560000,15980000,17320000,18650000,22500000,24460000,27940000,40380000,40150000,46170000,,
"Net bilateral aid flows from DAC donors, Czech Republic (current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000,30000,110000,30000,30000,30000,40000,50000,10000,,
"Net bilateral aid flows from DAC donors, Germany (current US$)",,,,,40000,600000,1020000,400000,330000,890000,1050000,1550000,3240000,4930000,2470000,10200000,4310000,4860000,8090000,17110000,18810000,5960000,7980000,17150000,10250000,10580000,21290000,26740000,68530000,37980000,35560000,36890000,36930000,22000000,22570000,19510000,25710000,24600000,24500000,22140000,21810000,37920000,34520000,63050000,52550000,63070000,33030000,48890000,62250000,59610000,41950000,40420000,64780000,44270000,,
